"species","year","country","mean"
"Aeshna_cyanea",2016,"Portugal",0.01647
"Aeshna_cyanea",2016,"Slovenia",0.14373
"Aeshna_cyanea",2016,"Spain",0.03709
"Aeshna_cyanea",2016,"Sweden",0.07119
"Aeshna_cyanea",2016,"Switzerland",0.37679
"Aeshna_cyanea",2016,"United Kingdom",0.22525
"Aeshna_cyanea",2016,"All",0.11878
"Aeshna_cyanea",2017,"Austria",0.0951
"Aeshna_cyanea",2017,"Belgium",0.39952
"Aeshna_cyanea",2017,"Cyprus",0
"Aeshna_cyanea",2017,"Czechia",0.18182
"Aeshna_cyanea",2017,"Denmark",0.16424
"Aeshna_cyanea",2017,"Finland",0.01337
"Aeshna_cyanea",2017,"France",0.21167
"Aeshna_cyanea",2017,"Ireland",0
"Aeshna_cyanea",2017,"Isle of Man",0
"Aeshna_cyanea",2017,"Italy",0.08842
"Aeshna_cyanea",2017,"Luxembourg",0.20044
"Aeshna_cyanea",2017,"Netherlands",0.34639
"Aeshna_cyanea",2017,"Portugal",0.0121
"Aeshna_cyanea",2017,"Slovenia",0.29791
"Aeshna_cyanea",2017,"Spain",0.04139
"Aeshna_cyanea",2017,"Sweden",0.05832
"Aeshna_cyanea",2017,"Switzerland",0.43698
"Aeshna_cyanea",2017,"United Kingdom",0.23415
"Aeshna_cyanea",2017,"All",0.12126
"Aeshna_cyanea",2018,"Austria",0.13572
"Aeshna_cyanea",2018,"Belgium",0.40348
"Aeshna_cyanea",2018,"Cyprus",0
"Aeshna_cyanea",2018,"Czechia",0.26672
"Aeshna_cyanea",2018,"Denmark",0.11599
"Aeshna_cyanea",2018,"Finland",0.01331
"Aeshna_cyanea",2018,"France",0.21826
"Aeshna_cyanea",2018,"Ireland",0
"Aeshna_cyanea",2018,"Isle of Man",0
"Aeshna_cyanea",2018,"Italy",0.09838
"Aeshna_cyanea",2018,"Luxembourg",0.30166
"Aeshna_cyanea",2018,"Netherlands",0.35363
"Aeshna_cyanea",2018,"Portugal",0.02115
"Aeshna_cyanea",2018,"Slovenia",0.29503
"Aeshna_cyanea",2018,"Spain",0.0417
"Aeshna_cyanea",2018,"Sweden",0.07622
"Aeshna_cyanea",2018,"Switzerland",0.44957
"Aeshna_cyanea",2018,"United Kingdom",0.2318
"Aeshna_cyanea",2018,"All",0.12969
"Aeshna_cyanea",2019,"Austria",0.15481
"Aeshna_cyanea",2019,"Belgium",0.366
"Aeshna_cyanea",2019,"Cyprus",0
"Aeshna_cyanea",2019,"Czechia",0.22572
"Aeshna_cyanea",2019,"Denmark",0.13584
